NumberedEntityID,EntityFullName,Method,StartValue,FinishValue,ApplyProperty1,ApplyProperty2,ApplyProperty3,ApplyPorperty4,Creator,CreationDate,LastModifier,LastModificationDate,Version
43,SG.ReceiptAndPayment.BankReconciliation.Common.ReconciliationRow,2,1,,False,True,False,False,1,2018-03-05 13:34:03.833000,1,2018-03-05 13:34:03.833000,1
44,SG.ReceiptAndPayment.PaymentManagement.Common.RefundChequeRow,1,1,,True,True,False,False,1,2018-03-05 13:34:03.840000,1,2018-03-05 15:01:28,2
45,SG.Sales.InvoiceManagement.Common.ReturnedInvoiceRow,1,1,,True,False,False,False,1,2018-03-05 13:34:03.843000,1,2018-03-05 15:00:31,2
46,SG.Sales.SalePriceManagement.Common.SaleTypeRow,2,1,,False,False,False,False,1,2018-03-05 13:34:03.850000,1,2018-03-05 13:34:03.850000,1
47,SG.FixedAsset.AssetManagement.Common.AcquisitionReceiptRow,1,1,,True,True,False,False,1,2018-03-05 13:37:44.663000,1,2018-03-05 13:37:44.663000,1
48,SG.FixedAsset.BasicData.Common.AssetClassRow,2,1,,False,False,False,False,1,2018-03-05 13:37:44.680000,1,2018-03-05 13:37:44.680000,1
49,SG.FixedAsset.AssetManagement.Common.EliminationRow,1,1,,True,True,True,False,1,2018-03-05 13:37:44.683000,1,2018-03-05 13:37:44.683000,1
50,SG.FixedAsset.AssetManagement.Common.SaleRow,1,1,,True,True,True,False,1,2018-03-05 13:37:44.710000,1,2018-03-05 13:37:44.710000,1
51,SG.FixedAsset.AssetManagement.Common.SalvageRow,1,1,,True,True,True,False,1,2018-03-05 13:37:44.723000,1,2018-03-05 13:37:44.723000,1
52,SG.FixedAsset.AssetManagement.Common.TransferRow,1,1,,True,True,True,False,1,2018-03-05 13:37:44.730000,1,2018-03-05 13:37:44.730000,1
53,SG.FixedAsset.AssetManagement.Common.ChangeDepreciationMethodRow,1,1,,False,False,False,False,1,2018-03-05 13:37:44.807000,1,2018-03-05 13:37:44.807000,1
54,SG.Sales.InvoiceManagement.Common.CommissionRow,2,1,,False,False,False,False,1,2018-03-05 13:37:44.913000,1,2018-03-05 13:37:44.913000,1
55,SG.FixedAsset.AssetManagement.Common.RepairRow,1,1,,False,False,False,False,1,2018-03-05 13:37:45.020000,1,2018-03-05 13:37:45.020000,1
56,SG.Sales.SalePriceManagement.Common.DiscountRow,1,1,,False,False,False,False,1,2018-03-05 13:37:45.223000,1,2018-03-05 13:37:45.223000,1
57,SG.FixedAsset.BasicData.Common.EmplacementRow,2,1,,False,False,False,False,1,2018-03-05 13:37:45.263000,1,2018-03-05 13:37:45.263000,1
59,SG.Inventory.InventoryCommon.Common.AssetPurchaseInvoiceRow,1,1,,True,False,False,False,1,2018-03-05 13:37:47.667000,1,2018-03-05 15:01:08,2
60,SG.FixedAsset.AssetManagement.Common.UnuseableRow,1,1,,False,False,False,False,1,2018-03-05 13:37:47.813000,1,2018-03-05 13:37:47.813000,1
61,SG.FixedAsset.AssetManagement.Common.UseableRow,1,1,,False,False,False,False,1,2018-03-05 13:37:48.020000,1,2018-03-05 13:37:48.020000,1
62,SG.WorkOrder.BasicData.Common.ProductFormulaRow,2,1,,False,False,False,False,1,2018-03-05 13:37:48.110000,1,2018-03-05 13:37:48.110000,1
63,SG.WorkOrder.WorkOrderOperations.Common.ProductOrderRow,2,1,,True,False,False,False,1,2018-03-05 13:37:48.117000,1,2018-03-05 13:37:48.117000,1
64,SG.Inventory.WeighbridgeManagement.Common.InventoryWeighingRow,2,1,,True,False,False,False,1,2018-08-06 00:53:44.847000,1,2018-08-06 00:53:44.847000,1
65,SG.ReceiptAndPayment.PartySettlementManagement.Common.PartyAccountSettlementRow,1,1,,True,True,False,False,1,2018-10-27 05:17:43.357000,1,2018-10-27 05:17:43.357000,1
67,SG.Contract.ContractOperation.Common.StatusRow,2,1,,True,True,False,False,1,2019-04-30 03:15:07.937000,1,2019-04-30 03:15:07.937000,1
68,SG.Contract.ContractOperation.Common.Tender.TenderRow,2,1,,False,False,False,False,1,2019-04-30 03:15:07.940000,1,2019-04-30 03:15:07.940000,1
69,SG.Contract.ContractOperation.Common.Guarantee.GuaranteeRow,2,1,,True,False,False,False,1,2019-04-30 03:15:07.943000,1,2019-04-30 03:15:07.943000,1
74,SG.General.BasicData.Common.DeviceRow,1,1000,9999,False,False,False,False,1,2019-10-26 06:44:03.537000,1,2019-10-26 06:44:03.537000,1
75,SG.Distribution.DistributionOperation.Common.ColdDistributionRow,2,1,,True,False,False,False,1,2019-10-26 06:44:03.723000,1,2019-10-26 06:44:03.723000,1
76,SG.Distribution.DistributionOperation.Common.DebtCollectionListRow,2,1,,True,False,False,False,1,2019-10-26 06:44:03.750000,1,2019-10-26 06:44:03.750000,1
77,SG.Distribution.DistributionOperation.Common.HotDistributionRow,2,1,,True,False,False,False,1,2019-10-26 06:44:03.750000,1,2019-10-26 06:44:03.750000,1
78,SG.Distribution.OrderOperations.Common.OrderRow,2,1,,True,True,False,False,1,2019-10-26 06:44:06.997000,1,2019-10-26 06:44:06.997000,1
79,SG.Distribution.OrderOperations.Common.ReturnOrderRow,2,1,,True,True,False,False,1,2019-10-26 06:44:08.803000,1,2019-10-26 06:44:08.803000,1
85,SG.Sales.SalePriceManagement.Common.AdditionFactorRow,1,1,,False,False,False,False,1,2020-09-20 17:50:37.787000,1,2020-09-20 17:50:37.787000,1
88,SG.Purchasing.PurchasingOperations.Common.PerformaRow,1,1,,True,True,False,False,1,2021-02-20 12:38:45.253000,1,2021-02-20 12:38:45.253000,1
89,SG.Purchasing.PurchasingOperations.Common.CommercialOrderRow,1,1,,True,True,False,False,1,2021-02-20 12:38:45.283000,1,2021-02-20 12:38:45.283000,1
90,SG.Purchasing.PurchasingOperations.Common.PurchaseOrderRow,2,6000,9999,False,False,False,False,1,2021-02-20 12:38:45.283000,1,2021-02-20 12:38:45.283000,1
91,SG.Purchasing.PurchasingOperations.Common.PurchaseInvoiceRow,1,1,,True,True,False,False,1,2021-02-20 12:38:45.287000,1,2021-02-20 12:38:45.287000,1
92,SG.Purchasing.PurchasingOperations.Common.CustomsClearanceRow,1,1,,True,True,False,False,1,2021-02-20 12:38:45.290000,1,2021-02-20 12:38:45.290000,1
93,SG.Purchasing.PurchasingOperations.Common.BillOfLoadingRow,1,1,,True,True,False,False,1,2021-02-20 12:38:45.290000,1,2021-02-20 12:38:45.290000,1
94,SG.Purchasing.PurchasingOperations.Common.InsurancePolicyRow,1,1,,True,True,False,False,1,2021-02-20 12:38:45.293000,1,2021-02-20 12:38:45.293000,1
95,SG.Purchasing.PurchasingOperations.Common.PurchaseCostRow,1,1,,True,True,False,False,1,2021-02-20 12:38:45.293000,1,2021-02-20 12:38:45.293000,1
101,SG.ReceiptAndPayment.PartySettlementManagement.Common.PettyCashBillRow,2,1,,True,False,False,False,1,2023-04-02 12:03:27.313000,1,2023-04-02 12:03:27.313000,1
102,SG.General.TaxPayer.Common.TaxPayerBillRow,1,1,,False,False,False,False,1,2023-04-02 12:03:27.953000,1,2023-04-02 12:03:27.953000,1
103,SG.Sales.InvoiceManagement.Common.CustomsDeclarationRow,1,1,,True,False,False,False,1,2024-03-02 17:25:37.717000,1,2024-03-02 17:25:37.717000,1
109,SG.Purchasing.PurchasingOperations.Common.ItemRequestRow,1,1,,True,True,False,False,1,2025-03-13 09:47:22.713000,1,2025-03-13 09:47:22.713000,1
110,SG.Purchasing.PurchasingOperations.Common.PurchaseRequestRow,1,1,,True,True,False,False,1,2025-03-13 09:47:22.743000,1,2025-03-13 09:47:22.743000,1
111,SG.Purchasing.PurchasingOperations.Common.PurchaseOrderInternalJustForNumberingRow,1,1,,False,False,False,False,1,2025-03-13 09:47:22.743000,1,2025-03-13 09:47:22.743000,1
118,SG.WorkOrder.WorkOrderOperations.Common.ProductOperationRow,2,1,,True,False,False,False,1,2025-09-21 14:57:35.543000,1,2025-09-21 14:57:35.543000,1
119,SG.WorkOrder.WorkOrderOperations.Common.AbstractProductOperationRow,2,1,,True,False,False,False,1,2025-09-21 14:57:35.543000,1,2025-09-21 14:57:35.543000,1
