ExtraColumnDescriptionID,EntityTypeName,StringColumn1Description,StringColumn2Description,StringColumn3Description,StringColumn4Description,StringColumn5Description,StringColumn6Description,StringColumn7Description,StringColumn8Description,StringColumn9Description,StringColumn10Description,StringColumn11Description,StringColumn12Description,StringColumn13Description,StringColumn14Description,StringColumn15Description,DateColumn1Description,DateColumn2Description,DateColumn3Description,DateColumn4Description,DateColumn5Description,IntegerColumn1Description,IntegerColumn2Description,IntegerColumn3Description,IntegerColumn4Description,IntegerColumn5Description,DecimalColumn1Description,DecimalColumn2Description,DecimalColumn3Description,DecimalColumn4Description,DecimalColumn5Description,DecimalColumn6Description,DecimalColumn7Description,DecimalColumn8Description,DecimalColumn9Description,DecimalColumn10Description,StringColumn1Order,StringColumn2Order,StringColumn3Order,StringColumn4Order,StringColumn5Order,StringColumn6Order,StringColumn7Order,StringColumn8Order,StringColumn9Order,StringColumn10Order,StringColumn11Order,StringColumn12Order,StringColumn13Order,StringColumn14Order,StringColumn15Order,DateColumn1Order,DateColumn2Order,DateColumn3Order,DateColumn4Order,DateColumn5Order,IntegerColumn1Order,IntegerColumn2Order,IntegerColumn3Order,IntegerColumn4Order,IntegerColumn5Order,DecimalColumn1Order,DecimalColumn2Order,DecimalColumn3Order,DecimalColumn4Order,DecimalColumn5Order,DecimalColumn6Order,DecimalColumn7Order,DecimalColumn8Order,DecimalColumn9Order,DecimalColumn10Order,Version,UrlColumn1Description,UrlColumn2Description,UrlColumn3Description,UrlColumn4Description,UrlColumn5Description,UrlColumn1Order,UrlColumn2Order,UrlColumn3Order,UrlColumn4Order,UrlColumn5Order
12,SG.Payroll.BasicData.Common.DsElement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
13,SG.Accounting.AccountManagement.Common.DsOtherDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
14,SG.Payroll.BasicData.Common.DsLoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
15,SG.Sales.SalePriceManagement.Common.DsSaleType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
16,SG.General.BackupManagement.Common.DsBackup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
17,SG.Framework.Security.Common.DsUser,سمت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,تصوير,,,,,100,100,,100,100
18,SG.Framework.Numbering.Common.DsNumbering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
19,SG.ReceiptAndPayment.BasicData.Common.DsBankBranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
20,SG.ReceiptAndPayment.BasicData.Common.DsBankAccount,,شماره شبا,,,,,,,,,,,,,,,,,,,شماره كارت,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,,,,,,100,100,,100,100
21,SG.ReceiptAndPayment.PaymentManagement.Common.DsPayment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
22,SG.General.Grouping.Common.DsGrouping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
23,SG.Inventory.InventoryOperations.Common.DsInventoryReceipt,نام راننده,,,,,,,,,,,,,,,تاريخ بارگيري,,,,,شماره پلاك راننده,شماره موبايل راننده,شماره بارنامه,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,تصوير بارنامه,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,100,100,,100,100
24,SG.Inventory.InventoryOperations.Common.DsInventoryDelivery,نام راننده,,,,,,,,,,,,,,,تاريخ بارگيري,,,,,شماره پلاك راننده,شماره موبايل راننده,شماره بارنامه,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,تصوير بارنامه,,,,,100,100,,100,100
25,SG.Sales.InvoiceManagement.Common.DsInvoice,نام راننده,,,,,,,,,,,,,,,تاريخ بارگيري,,,,,شماره پلاك راننده,شماره موبايل راننده,شماره بارنامه,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,تصوير بارنامه,,,,,100,100,,100,100
26,SG.Accounting.VoucherManagement.Common.DsOpeningOperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
27,SG.Accounting.VoucherManagement.Common.DsVoucher,برسي سند توسط رئيس حسابداري,,,,,,,,,,,,,,,تاريخ برسي سند توسط رئيس حسابداري,,,,,تعداد ضمائم سند,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,پيوست 1,پيوست 2,پيوست 3,پيوست 4,پيوست 5,100,100,,100,100
28,SG.Accounting.AccountManagement.Common.DsAccountTopic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
29,SG.General.CurrencyManagement.Common.DsCurrencyExchangeRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
30,SG.Inventory.InventoryCommon.Common.DsServiceInventoryPurchaseInvoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
31,SG.FixedAsset.BasicData.Common.DsAssetClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
32,SG.FixedAsset.BasicData.Common.DsAssetGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
33,SG.Inventory.InventoryOperations.Common.DsInventoryPurchaseInvoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
34,SG.Sales.InvoiceManagement.Common.DsQuotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
35,SG.ReceiptAndPayment.ReceiptManagement.Common.DsReceipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
36,SG.ReceiptAndPayment.BasicData.Common.DsPos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
37,SG.Payroll.ContractManagement.Common.DsContract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
38,SG.WorkOrder.BasicData.Common.DsProductFormula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
39,SG.WorkOrder.WorkOrderOperations.Common.DsProductOrder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
40,SG.ReceiptAndPayment.BasicData.Common.DsBank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
41,SG.ReceiptAndPayment.BasicData.Common.DsAccountType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
42,SG.ReceiptAndPayment.ReceiptManagement.Common.DsPosSettlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
43,SG.General.ShredManagement.Common.DsShred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
44,SG.ReceiptAndPayment.PaymentManagement.Common.DsPaymentChequeBanking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
45,SG.Sales.SalePriceManagement.Common.DsAdditionFactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
46,SG.Inventory.InventoryOperations.Common.DsInventoryReceiptReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
47,SG.ReceiptAndPayment.PaymentManagement.Common.DsRefundCheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
48,SG.WorkOrder.WorkOrderOperations.Common.DsProductOperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
49,SG.ReceiptAndPayment.BasicData.Common.DsChequeBook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
50,SG.Inventory.InventoryOperations.Common.DsInventoryBalancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
51,SG.General.DebitCreditNoteManagement.Common.DsDebitCreditNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
52,SG.WorkOrder.WorkOrderOperations.Common.DsAbstractProductOperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
53,SG.Inventory.InventoryOperations.Common.DsInventoryPricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,100,100,,100,100
