ReceiptHeaderId,Type,AccountSlRef,DlRef,Number,Date,CurrencyRef,Description,Description_En,Discount,TotalAmount,ItemType,State,CreatorForm,Creator,CreationDate,LastModifier,LastModificationDate,Version,Rate,CashRef,Amount,AmountInBaseCurrency,FiscalYearRef,VoucherRef,DiscountRate,DiscountInBaseCurrency,TotalAmountInBaseCurrency,Guid,ReceiptAmount
1941,1,799,26,11,2026-03-30 00:00:00,1,بابت فروش 1405/01/09,بابت فروش 1405/01/09,0.0000,2886580000.0000,8,2,0,11,2026-04-21 17:55:21,11,2026-05-16 12:50:02,6,1.0000000000000000,1,0.0000,0.0000,1,432,1.0000000000000000,0.0000,2886580000.0000,,2886580000.0000
1942,1,799,26,12,2026-03-31 00:00:00,1,بابت فروش 1405/01/10,بابت فروش 1405/01/10,0.0000,3237610000.0000,8,2,0,11,2026-04-21 17:55:22,11,2026-05-26 12:52:05,6,1.0000000000000000,1,0.0000,0.0000,1,741,1.0000000000000000,0.0000,3237610000.0000,,3237610000.0000
1943,1,799,26,13,2026-04-01 00:00:00,1,بابت فروش 1405/01/11,بابت فروش 1405/01/11,0.0000,2821330000.0000,8,2,0,11,2026-04-21 17:55:22,11,2026-05-26 12:52:32,7,1.0000000000000000,1,0.0000,0.0000,1,742,1.0000000000000000,0.0000,2821330000.0000,,2821330000.0000
1944,1,799,26,14,2026-04-02 00:00:00,1,بابت فروش 1405/01/12,بابت فروش 1405/01/12,0.0000,3071170000.0000,8,2,0,11,2026-04-21 17:55:22,11,2026-05-26 12:52:55,6,1.0000000000000000,1,0.0000,0.0000,1,743,1.0000000000000000,0.0000,3071170000.0000,,3071170000.0000
1945,1,799,26,15,2026-04-03 00:00:00,1,بابت فروش 1405/01/13,بابت فروش 1405/01/13,0.0000,2905190000.0000,8,2,0,11,2026-04-21 17:55:23,11,2026-05-19 13:45:15,3,1.0000000000000000,1,0.0000,0.0000,1,496,1.0000000000000000,0.0000,2905190000.0000,,2905190000.0000
1946,1,799,26,16,2026-04-04 00:00:00,1,بابت فروش 1405/01/14,بابت فروش 1405/01/14,0.0000,3538310000.0000,8,2,0,11,2026-04-21 17:55:23,11,2026-05-26 12:53:24,6,1.0000000000000000,1,0.0000,0.0000,1,745,1.0000000000000000,0.0000,3538310000.0000,,3538310000.0000
1947,1,799,26,17,2026-04-05 00:00:00,1,بابت فروش 1405/01/15,بابت فروش 1405/01/15,0.0000,2001540000.0000,8,2,0,11,2026-04-21 17:55:24,11,2026-05-26 12:53:44,5,1.0000000000000000,1,0.0000,0.0000,1,746,1.0000000000000000,0.0000,2001540000.0000,,2001540000.0000
1950,1,799,26,20,2026-04-08 00:00:00,1,بابت فروش 1405/01/18,بابت فروش 1405/01/18,0.0000,2122730000.0000,8,2,0,11,2026-04-21 17:55:25,11,2026-05-26 12:54:26,6,1.0000000000000000,1,0.0000,0.0000,1,749,1.0000000000000000,0.0000,2122730000.0000,,2122730000.0000
1951,1,799,26,21,2026-04-09 00:00:00,1,بابت فروش 1405/01/19,بابت فروش 1405/01/19,0.0000,2610660000.0000,8,2,0,11,2026-04-21 17:55:25,11,2026-05-26 12:54:36,6,1.0000000000000000,1,0.0000,0.0000,1,750,1.0000000000000000,0.0000,2610660000.0000,,2610660000.0000
1962,1,799,26,18,2026-04-06 00:00:00,1,بابت فروش 1405/01/16,بابت فروش 1405/01/16,0.0000,2504750000.0000,8,2,0,11,2026-04-21 17:58:19,11,2026-05-19 16:47:51,3,1.0000000000000000,1,0.0000,0.0000,1,512,1.0000000000000000,0.0000,2504750000.0000,,2504750000.0000
1963,1,799,26,19,2026-04-07 00:00:00,1,بابت فروش 1405/01/17,بابت فروش 1405/01/17,0.0000,2211390000.0000,8,2,0,11,2026-04-21 17:58:20,11,2026-05-19 17:48:47,3,1.0000000000000000,1,0.0000,0.0000,1,516,1.0000000000000000,0.0000,2211390000.0000,,2211390000.0000
1966,1,799,26,22,2026-04-10 00:00:00,1,بابت فروش 1405/01/20,بابت فروش 1405/01/20,0.0000,4310090000.0000,8,2,0,11,2026-04-21 18:05:35,11,2026-05-26 12:54:46,6,1.0000000000000000,1,0.0000,0.0000,1,751,1.0000000000000000,0.0000,4310090000.0000,,4310090000.0000
1967,1,799,26,23,2026-04-11 00:00:00,1,بابت فروش 1405/01/21,بابت فروش 1405/01/21,0.0000,3779200000.0000,8,2,0,11,2026-04-21 18:05:35,11,2026-05-20 16:26:05,3,1.0000000000000000,1,0.0000,0.0000,1,532,1.0000000000000000,0.0000,3779200000.0000,,3779200000.0000
1968,1,799,26,24,2026-04-12 00:00:00,1,بابت فروش 1405/01/22,بابت فروش 1405/01/22,0.0000,2272810000.0000,8,2,0,11,2026-04-21 18:05:35,11,2026-05-26 12:55:09,6,1.0000000000000000,1,0.0000,0.0000,1,753,1.0000000000000000,0.0000,2272810000.0000,,2272810000.0000
1969,1,799,26,25,2026-04-13 00:00:00,1,بابت فروش 1405/01/23,بابت فروش 1405/01/23,0.0000,2345260000.0000,8,2,0,11,2026-04-21 18:05:36,11,2026-05-26 13:28:17,5,1.0000000000000000,1,0.0000,0.0000,1,754,1.0000000000000000,0.0000,2345260000.0000,,2345260000.0000
1977,32,789,149,13,2026-03-24 00:00:00,1,انتقالي از ملي مارينا به پارسيان پس انداز,انتقالي از ملي مارينا به پارسيان پس انداز,0.0000,2000000000.0000,8,2,4,11,2026-04-22 13:51:39,11,2026-05-24 14:58:42,3,1.0000000000000000,,0.0000,0.0000,1,471,1.0000000000000000,0.0000,2000000000.0000,,2000000000.0000
1980,32,789,133,15,2026-03-28 00:00:00,1,انتقالي,انتقالي,0.0000,240000000.0000,8,2,4,11,2026-04-22 14:07:37,11,2026-05-24 15:02:08,3,1.0000000000000000,,0.0000,0.0000,1,473,1.0000000000000000,0.0000,240000000.0000,,240000000.0000
1983,32,789,133,16,2026-04-04 00:00:00,1,انتقالي,انتقالي,0.0000,200000000.0000,8,2,4,11,2026-04-22 18:34:00,11,2026-05-24 15:53:49,3,1.0000000000000000,,0.0000,0.0000,1,476,1.0000000000000000,0.0000,200000000.0000,,200000000.0000
1985,32,789,133,17,2026-04-04 00:00:00,1,انتقالي,انتقالي,0.0000,12000000000.0000,8,2,4,11,2026-04-23 11:58:55,11,2026-05-24 15:53:49,3,1.0000000000000000,,0.0000,0.0000,1,475,1.0000000000000000,0.0000,12000000000.0000,,12000000000.0000
1986,2,811,16,26,2026-04-05 00:00:00,1, واريز توسط بانك (سامانه سروش بانك مركزي), واريز توسط بانك (سامانه سروش بانك مركزي),0.0000,2200.0000,8,2,0,11,2026-04-23 12:32:28,11,2026-05-24 16:08:05,2,1.0000000000000000,1,0.0000,0.0000,1,652,1.0000000000000000,0.0000,2200.0000,,2200.0000
1987,32,789,133,18,2026-04-11 00:00:00,1,انتقالي از پارسيان به ملي 4002,انتقالي از پارسيان به ملي 4002,0.0000,1000000000.0000,8,2,4,11,2026-04-23 13:55:49,11,2026-05-24 15:59:36,3,1.0000000000000000,,0.0000,0.0000,1,478,1.0000000000000000,0.0000,1000000000.0000,,1000000000.0000
1988,32,789,133,19,2026-04-11 00:00:00,1,انتقالي از پارسيان به ملي 4002,انتقالي از پارسيان به ملي 4002,0.0000,1000000000.0000,8,2,4,11,2026-04-23 13:58:12,11,2026-05-24 15:59:36,3,1.0000000000000000,,0.0000,0.0000,1,480,1.0000000000000000,0.0000,1000000000.0000,,1000000000.0000
1989,32,789,133,20,2026-04-11 00:00:00,1,انتقالي از پارسيان به ملت 6092,انتقالي از پارسيان به ملت 6092,0.0000,600000000.0000,8,2,4,11,2026-04-23 13:59:13,11,2026-05-24 15:59:36,3,1.0000000000000000,,0.0000,0.0000,1,479,1.0000000000000000,0.0000,600000000.0000,,600000000.0000
1990,32,789,133,21,2026-04-12 00:00:00,1,انتقالي از پارسيان به ملي 4002,انتقالي از پارسيان به ملي 4002,0.0000,1500000000.0000,8,2,4,11,2026-04-25 10:53:53,11,2026-05-24 16:01:16,3,1.0000000000000000,,0.0000,0.0000,1,481,1.0000000000000000,0.0000,1500000000.0000,,1500000000.0000
1992,1,799,26,27,2026-04-14 00:00:00,1,بابت فروش 1405/01/24,بابت فروش 1405/01/24,0.0000,3165280000.0000,8,2,0,11,2026-04-26 12:16:44,11,2026-05-26 13:28:26,6,1.0000000000000000,1,0.0000,0.0000,1,755,1.0000000000000000,0.0000,3165280000.0000,,3165280000.0000
1993,1,799,26,28,2026-04-15 00:00:00,1,بابت فروش 1405/01/25,بابت فروش 1405/01/25,0.0000,3341720000.0000,8,2,0,11,2026-04-26 12:16:45,11,2026-05-21 13:14:22,3,1.0000000000000000,1,0.0000,0.0000,1,549,1.0000000000000000,0.0000,3341720000.0000,,3341720000.0000
1994,1,799,26,29,2026-04-16 00:00:00,1,بابت فروش 1405/01/26,بابت فروش 1405/01/26,0.0000,2919520000.0000,8,2,0,11,2026-04-26 12:16:46,11,2026-05-26 13:28:51,6,1.0000000000000000,1,0.0000,0.0000,1,757,1.0000000000000000,0.0000,2919520000.0000,,2919520000.0000
1995,1,799,26,30,2026-04-17 00:00:00,1,بابت فروش 1405/01/27,بابت فروش 1405/01/27,0.0000,4229010000.0000,8,2,0,11,2026-04-26 12:16:46,11,2026-05-26 13:29:01,6,1.0000000000000000,1,0.0000,0.0000,1,758,1.0000000000000000,0.0000,4229010000.0000,,4229010000.0000
1996,1,799,26,31,2026-04-18 00:00:00,1,بابت فروش 1405/01/28,بابت فروش 1405/01/28,0.0000,4490530000.0000,8,2,0,11,2026-04-26 12:16:47,11,2026-05-26 13:30:03,6,1.0000000000000000,1,0.0000,0.0000,1,759,1.0000000000000000,0.0000,4490530000.0000,,4490530000.0000
1997,1,799,26,32,2026-04-19 00:00:00,1,بابت فروش 1405/01/29,بابت فروش 1405/01/29,0.0000,2223740000.0000,8,2,0,11,2026-04-26 12:16:47,11,2026-05-26 13:30:13,6,1.0000000000000000,1,0.0000,0.0000,1,760,1.0000000000000000,0.0000,2223740000.0000,,2223740000.0000
1998,1,799,26,33,2026-04-20 00:00:00,1,بابت فروش 1405/01/30,بابت فروش 1405/01/30,0.0000,2258240000.0000,8,2,0,11,2026-04-26 12:16:48,11,2026-05-26 13:30:23,5,1.0000000000000000,1,0.0000,0.0000,1,761,1.0000000000000000,0.0000,2258240000.0000,,2258240000.0000
1999,1,799,26,34,2026-04-21 00:00:00,1,بابت فروش 1405/01/31,بابت فروش 1405/01/31,0.0000,2360900000.0000,8,2,0,11,2026-04-26 12:16:48,11,2026-05-24 13:44:48,2,1.0000000000000000,1,0.0000,0.0000,1,615,1.0000000000000000,0.0000,2360900000.0000,,2360900000.0000
2000,32,789,133,22,2026-04-18 00:00:00,1,انتقالي از پارسيان به ملي 4002,انتقالي از پارسيان به ملي 4002,0.0000,3500000000.0000,8,2,4,11,2026-04-26 12:59:27,11,2026-05-24 16:03:45,3,1.0000000000000000,,0.0000,0.0000,1,482,1.0000000000000000,0.0000,3500000000.0000,,3500000000.0000
2002,1,799,74,35,2026-03-23 00:00:00,1,واريز توسط اسنپ فود,واريز توسط اسنپ فود,0.0000,5432325298.0000,8,2,0,11,2026-04-26 13:47:35,11,2026-05-24 16:06:43,2,1.0000000000000000,1,0.0000,0.0000,1,649,1.0000000000000000,0.0000,5432325298.0000,,5432325298.0000
2003,32,789,135,23,2026-03-30 00:00:00,1,انتقالي,انتقالي,0.0000,250000000.0000,8,2,4,11,2026-04-26 13:56:59,11,2026-05-24 15:06:16,3,1.0000000000000000,,0.0000,0.0000,1,474,1.0000000000000000,0.0000,250000000.0000,,250000000.0000
2004,1,799,74,36,2026-04-04 00:00:00,1,واريز توسط اسنپ فود,واريز توسط اسنپ فود,0.0000,8561000000.0000,8,2,0,11,2026-04-26 14:06:50,11,2026-05-24 16:07:40,2,1.0000000000000000,1,0.0000,0.0000,1,651,1.0000000000000000,0.0000,8561000000.0000,,8561000000.0000
2005,1,799,74,37,2026-04-16 00:00:00,1,واريز توسط اسنپ فود,واريز توسط اسنپ فود,0.0000,3117000000.0000,8,2,0,11,2026-04-26 14:22:36,11,2026-05-24 16:14:55,2,1.0000000000000000,1,0.0000,0.0000,1,657,1.0000000000000000,0.0000,3117000000.0000,,3117000000.0000
2006,1,799,74,38,2026-04-23 00:00:00,1,واريز توسط اسنپ فود,واريز توسط اسنپ فود,0.0000,7637861988.0000,8,2,0,11,2026-04-26 15:35:57,11,2026-05-25 10:44:17,2,1.0000000000000000,1,0.0000,0.0000,1,662,1.0000000000000000,0.0000,7637861988.0000,,7637861988.0000
2007,2,884,16,39,2026-04-13 00:00:00,1,واريز سود سپرده بانكي,واريز سود سپرده بانكي,0.0000,40.0000,8,2,0,11,2026-04-26 15:42:48,11,2026-05-25 10:44:17,4,1.0000000000000000,1,0.0000,0.0000,1,660,1.0000000000000000,0.0000,40.0000,,40.0000
2012,1,799,26,40,2026-03-22 00:00:00,1,بابت فروش 1405/01/01,بابت فروش 1405/01/01,0.0000,41400000.0000,8,2,0,11,2026-04-26 17:14:00,11,2026-05-11 16:29:34,9,1.0000000000000000,1,0.0000,0.0000,1,345,1.0000000000000000,0.0000,41400000.0000,,41400000.0000
2013,1,799,26,41,2026-03-23 00:00:00,1,بابت فروش 1405/01/02,بابت فروش 1405/01/02,0.0000,82750000.0000,8,2,0,11,2026-04-26 17:14:00,11,2026-05-12 12:41:25,3,1.0000000000000000,1,0.0000,0.0000,1,349,1.0000000000000000,0.0000,82750000.0000,,82750000.0000
2014,1,799,26,42,2026-03-24 00:00:00,1,بابت فروش 1405/01/03,بابت فروش 1405/01/03,0.0000,17150000.0000,8,2,0,11,2026-04-26 17:34:29,11,2026-05-12 16:30:12,3,1.0000000000000000,1,0.0000,0.0000,1,365,1.0000000000000000,0.0000,17150000.0000,,17150000.0000
2015,1,799,26,43,2026-03-25 00:00:00,1,بابت فروش 1405/01/04,بابت فروش 1405/01/04,0.0000,36600000.0000,8,2,0,11,2026-04-26 17:34:29,11,2026-05-12 18:02:23,3,1.0000000000000000,1,0.0000,0.0000,1,371,1.0000000000000000,0.0000,36600000.0000,,36600000.0000
2016,1,799,26,44,2026-03-26 00:00:00,1,بابت فروش 1405/01/05,بابت فروش 1405/01/05,0.0000,55780000.0000,8,2,0,11,2026-04-26 17:34:29,11,2026-05-13 10:50:52,5,1.0000000000000000,1,0.0000,0.0000,1,377,1.0000000000000000,0.0000,55780000.0000,,55780000.0000
2017,1,799,26,45,2026-03-30 00:00:00,1,بابت فروش 1405/01/09,بابت فروش 1405/01/09,0.0000,20000000.0000,8,2,0,11,2026-04-26 17:34:30,11,2026-05-16 12:50:02,6,1.0000000000000000,1,0.0000,0.0000,1,432,1.0000000000000000,0.0000,20000000.0000,,20000000.0000
2018,1,799,26,46,2026-03-31 00:00:00,1,بابت فروش 1405/01/10,بابت فروش 1405/01/10,0.0000,54830000.0000,8,2,0,11,2026-04-26 17:34:30,11,2026-05-26 12:52:05,5,1.0000000000000000,1,0.0000,0.0000,1,741,1.0000000000000000,0.0000,54830000.0000,,54830000.0000
2019,1,799,26,47,2026-04-01 00:00:00,1,بابت فروش 1405/01/11,بابت فروش 1405/01/11,0.0000,90450000.0000,8,2,0,11,2026-04-26 17:34:31,11,2026-05-26 12:52:32,5,1.0000000000000000,1,0.0000,0.0000,1,742,1.0000000000000000,0.0000,90450000.0000,,90450000.0000
2020,1,799,26,48,2026-04-02 00:00:00,1,بابت فروش 1405/01/12,بابت فروش 1405/01/12,0.0000,7050000.0000,8,2,0,11,2026-04-26 17:34:31,11,2026-05-26 12:52:55,5,1.0000000000000000,1,0.0000,0.0000,1,743,1.0000000000000000,0.0000,7050000.0000,,7050000.0000
2021,1,799,26,49,2026-04-03 00:00:00,1,بابت فروش 1405/01/13,بابت فروش 1405/01/13,0.0000,22850000.0000,8,2,0,11,2026-04-26 17:34:32,11,2026-05-19 13:45:15,3,1.0000000000000000,1,0.0000,0.0000,1,496,1.0000000000000000,0.0000,22850000.0000,,22850000.0000
2023,1,799,26,50,2026-04-04 00:00:00,1,بابت فروش 1405/01/14,بابت فروش 1405/01/14,0.0000,30500000.0000,8,2,0,11,2026-04-26 17:39:08,11,2026-05-26 12:53:24,5,1.0000000000000000,1,0.0000,0.0000,1,745,1.0000000000000000,0.0000,30500000.0000,,30500000.0000
2024,1,799,26,51,2026-04-05 00:00:00,1,بابت فروش 1405/01/15,بابت فروش 1405/01/15,0.0000,18550000.0000,8,2,0,11,2026-04-26 17:39:08,11,2026-05-26 12:53:44,5,1.0000000000000000,1,0.0000,0.0000,1,746,1.0000000000000000,0.0000,18550000.0000,,18550000.0000
2025,1,799,26,52,2026-04-06 00:00:00,1,بابت فروش 1405/01/16,بابت فروش 1405/01/16,0.0000,7700000.0000,8,2,0,11,2026-04-26 17:39:09,11,2026-05-19 16:47:51,3,1.0000000000000000,1,0.0000,0.0000,1,512,1.0000000000000000,0.0000,7700000.0000,,7700000.0000
2026,1,799,26,53,2026-04-07 00:00:00,1,بابت فروش 1405/01/17,بابت فروش 1405/01/17,0.0000,65650000.0000,8,2,0,11,2026-04-26 17:39:09,11,2026-05-19 17:48:47,3,1.0000000000000000,1,0.0000,0.0000,1,516,1.0000000000000000,0.0000,65650000.0000,,65650000.0000
2027,1,799,26,54,2026-04-08 00:00:00,1,بابت فروش 1405/01/18,بابت فروش 1405/01/18,0.0000,19700000.0000,8,2,0,11,2026-04-26 17:39:10,11,2026-05-26 12:54:26,5,1.0000000000000000,1,0.0000,0.0000,1,749,1.0000000000000000,0.0000,19700000.0000,,19700000.0000
2028,1,799,26,55,2026-04-10 00:00:00,1,بابت فروش 1405/01/20,بابت فروش 1405/01/20,0.0000,12905000.0000,8,2,0,11,2026-04-26 17:39:10,11,2026-05-26 12:54:46,5,1.0000000000000000,1,0.0000,0.0000,1,751,1.0000000000000000,0.0000,12905000.0000,,12905000.0000
2029,1,799,26,56,2026-04-11 00:00:00,1,بابت فروش 1405/01/21,بابت فروش 1405/01/21,0.0000,32650000.0000,8,2,0,11,2026-04-26 17:39:11,11,2026-05-20 16:26:05,3,1.0000000000000000,1,0.0000,0.0000,1,532,1.0000000000000000,0.0000,32650000.0000,,32650000.0000
2030,1,799,26,57,2026-04-12 00:00:00,1,بابت فروش 1405/01/22,بابت فروش 1405/01/22,0.0000,20300000.0000,8,2,0,11,2026-04-26 17:39:11,11,2026-05-26 12:55:09,5,1.0000000000000000,1,0.0000,0.0000,1,753,1.0000000000000000,0.0000,20300000.0000,,20300000.0000
2031,1,799,26,58,2026-04-13 00:00:00,1,بابت فروش 1405/01/23,بابت فروش 1405/01/23,0.0000,15250000.0000,8,2,0,11,2026-04-26 17:39:12,11,2026-05-26 13:28:17,5,1.0000000000000000,1,0.0000,0.0000,1,754,1.0000000000000000,0.0000,15250000.0000,,15250000.0000
2032,1,799,26,59,2026-04-14 00:00:00,1,بابت فروش 1405/01/24,بابت فروش 1405/01/24,0.0000,30850000.0000,8,2,0,11,2026-04-26 17:39:12,11,2026-05-26 13:28:26,5,1.0000000000000000,1,0.0000,0.0000,1,755,1.0000000000000000,0.0000,30850000.0000,,30850000.0000
2033,1,799,26,60,2026-04-15 00:00:00,1,بابت فروش 1405/01/25,بابت فروش 1405/01/25,0.0000,32650000.0000,8,2,0,11,2026-04-26 17:39:15,11,2026-05-21 13:14:22,3,1.0000000000000000,1,0.0000,0.0000,1,549,1.0000000000000000,0.0000,32650000.0000,,32650000.0000
2034,1,799,26,61,2026-04-16 00:00:00,1,بابت فروش 1405/01/26,بابت فروش 1405/01/26,0.0000,64400000.0000,8,2,0,11,2026-04-26 17:39:15,11,2026-05-26 13:28:51,5,1.0000000000000000,1,0.0000,0.0000,1,757,1.0000000000000000,0.0000,64400000.0000,,64400000.0000
2035,1,799,26,62,2026-04-17 00:00:00,1,بابت فروش 1405/01/27,بابت فروش 1405/01/27,0.0000,127750000.0000,8,2,0,11,2026-04-26 17:39:16,11,2026-05-26 13:29:01,5,1.0000000000000000,1,0.0000,0.0000,1,758,1.0000000000000000,0.0000,127750000.0000,,127750000.0000
2036,1,799,26,63,2026-04-18 00:00:00,1,بابت فروش 1405/01/28,بابت فروش 1405/01/28,0.0000,123110000.0000,8,2,0,11,2026-04-26 17:39:16,11,2026-05-26 13:30:03,5,1.0000000000000000,1,0.0000,0.0000,1,759,1.0000000000000000,0.0000,123110000.0000,,123110000.0000
2037,1,799,26,64,2026-04-19 00:00:00,1,بابت فروش 1405/01/29,بابت فروش 1405/01/29,0.0000,38450000.0000,8,2,0,11,2026-04-26 17:39:17,11,2026-05-26 13:30:13,5,1.0000000000000000,1,0.0000,0.0000,1,760,1.0000000000000000,0.0000,38450000.0000,,38450000.0000
2038,1,799,26,65,2026-04-20 00:00:00,1,بابت فروش 1405/01/30,بابت فروش 1405/01/30,0.0000,11670000.0000,8,2,0,11,2026-04-26 17:39:17,11,2026-05-26 13:30:23,5,1.0000000000000000,1,0.0000,0.0000,1,761,1.0000000000000000,0.0000,11670000.0000,,11670000.0000
2039,2,811,16,66,2026-04-10 00:00:00,1,تست پوز مهر,تست پوز مهر,0.0000,5800.0000,8,2,0,11,2026-04-26 18:14:19,11,2026-05-24 16:14:05,2,1.0000000000000000,1,0.0000,0.0000,1,654,1.0000000000000000,0.0000,5800.0000,,5800.0000
2041,1,799,26,67,2026-03-25 00:00:00,1,بابت فروش 1405/01/05,بابت فروش 1405/01/05,0.0000,51300000.0000,8,2,0,11,2026-04-27 12:47:59,11,2026-05-12 18:43:59,2,1.0000000000000000,1,0.0000,0.0000,1,374,1.0000000000000000,0.0000,51300000.0000,,51300000.0000
2042,1,799,26,68,2026-04-04 00:00:00,1,بابت فروش 1405/01/15,بابت فروش 1405/01/15,0.0000,78000000.0000,8,2,0,11,2026-04-27 12:48:01,11,2026-05-26 12:53:25,4,1.0000000000000000,1,0.0000,0.0000,1,745,1.0000000000000000,0.0000,78000000.0000,,78000000.0000
2043,1,799,26,69,2026-04-05 00:00:00,1,بابت فروش 1405/01/16,بابت فروش 1405/01/16,0.0000,89570000.0000,8,2,0,11,2026-04-27 12:48:01,11,2026-05-19 16:47:51,2,1.0000000000000000,1,0.0000,0.0000,1,511,1.0000000000000000,0.0000,89570000.0000,,89570000.0000
2044,1,799,26,70,2026-04-06 00:00:00,1,بابت فروش 1405/01/17,بابت فروش 1405/01/17,0.0000,133340000.0000,8,2,0,11,2026-04-27 12:48:02,11,2026-05-26 12:53:53,4,1.0000000000000000,1,0.0000,0.0000,1,747,1.0000000000000000,0.0000,133340000.0000,,133340000.0000
2045,1,799,26,71,2026-04-07 00:00:00,1,بابت فروش 1405/01/18,بابت فروش 1405/01/18,0.0000,100290000.0000,8,2,0,11,2026-04-27 12:48:02,11,2026-05-26 12:54:08,4,1.0000000000000000,1,0.0000,0.0000,1,748,1.0000000000000000,0.0000,100290000.0000,,100290000.0000
2046,1,799,26,72,2026-04-08 00:00:00,1,بابت فروش 1405/01/19,بابت فروش 1405/01/19,0.0000,269320000.0000,8,2,0,11,2026-04-27 12:48:03,11,2026-05-26 12:54:26,4,1.0000000000000000,1,0.0000,0.0000,1,749,1.0000000000000000,0.0000,269320000.0000,,269320000.0000
2047,1,799,26,73,2026-04-09 00:00:00,1,بابت فروش 1405/01/20,بابت فروش 1405/01/20,0.0000,454880000.0000,8,2,0,11,2026-04-27 12:48:03,11,2026-05-26 12:54:36,4,1.0000000000000000,1,0.0000,0.0000,1,750,1.0000000000000000,0.0000,454880000.0000,,454880000.0000
2048,1,799,26,74,2026-04-10 00:00:00,1,بابت فروش 1405/01/21,بابت فروش 1405/01/21,0.0000,269620000.0000,8,2,0,11,2026-04-27 12:48:04,11,2026-05-26 12:54:46,5,1.0000000000000000,1,0.0000,0.0000,1,751,1.0000000000000000,0.0000,269620000.0000,,269620000.0000
2049,1,799,26,75,2026-04-11 00:00:00,1,بابت فروش 1405/01/22,بابت فروش 1405/01/22,0.0000,169730000.0000,8,2,0,11,2026-04-27 12:48:04,11,2026-05-26 12:54:58,4,1.0000000000000000,1,0.0000,0.0000,1,752,1.0000000000000000,0.0000,169730000.0000,,169730000.0000
